subject,replicate,lunge_type,acceleration,muscle
1,1,Lunge,0.46350845774376115,0.35337
1,1,Lunge_Bosu_up,0.538728033798131,0.34943
1,1,Lunge_Bosu_down,0.48002779179959987,0.28882
1,1,Lunge_Foam,0.5576540738665863,0.34742
1,2,Lunge,0.5056938493792464,0.43994
1,2,Lunge_Bosu_up,0.5360333423398213,0.28506
1,2,Lunge_Bosu_down,0.4825176235123439,0.41004
1,2,Lunge_Foam,0.560728519428074,0.31157
1,3,Lunge,0.4979405415308137,0.44396
1,3,Lunge_Bosu_up,0.5509442456365254,0.30896
1,3,Lunge_Bosu_down,0.49068964733322024,0.37564
1,3,Lunge_Foam,0.5268513742033896,0.40472
2,1,Lunge,0.6163525800221819,0.44814
2,1,Lunge_Bosu_up,0.7237803791897097,0.7573
2,1,Lunge_Bosu_down,0.7279524963210168,0.57697
2,1,Lunge_Foam,0.7023575996598883,0.60858
2,2,Lunge,0.620512355557889,0.69543
2,2,Lunge_Bosu_up,0.6636548551769964,0.66724000000000006
2,2,Lunge_Bosu_down,0.7170358452685611,0.58177
2,2,Lunge_Foam,0.6738247732163014,0.56526
2,3,Lunge,0.6260546870681506,0.5472
2,3,Lunge_Bosu_up,0.675304811770211,0.48904
2,3,Lunge_Bosu_down,0.7184641008429022,0.62224
2,3,Lunge_Foam,0.6959866172563953,0.8108
3,1,Lunge,0.3900407185153878,0.41353
3,1,Lunge_Bosu_up,0.4642017786480358,0.33411
3,1,Lunge_Bosu_down,0.48539908137531534,0.61132
3,1,Lunge_Foam,0.4645461816655046,0.51239
3,2,Lunge,0.4275532019526927,0.42014
3,2,Lunge_Bosu_up,0.44488657543243537,0.40882
3,2,Lunge_Bosu_down,0.5035309012364584,0.53234
3,2,Lunge_Foam,0.45746555039696707,0.42196
3,3,Lunge,0.43333974673459164,0.44899
3,3,Lunge_Bosu_up,0.44564051846752,0.38262
3,3,Lunge_Bosu_down,0.46826677279089535,0.50066
3,3,Lunge_Foam,0.45919969729955185,0.44735
4,1,Lunge,0.6072814886854365,0.64167
4,1,Lunge_Bosu_up,0.6636115072088489,0.6074
4,1,Lunge_Bosu_down,0.6439170948188905,0.63372
4,1,Lunge_Foam,0.6360649502998887,0.63367
4,2,Lunge,0.6361464863535756,0.57378
4,2,Lunge_Bosu_up,0.6585940118920002,0.76498
4,2,Lunge_Bosu_down,0.6938091801064613,0.98337
4,2,Lunge_Foam,0.6140678693760162,0.70828
4,3,Lunge,0.6327810133845673,0.7633
4,3,Lunge_Bosu_up,0.6840968956222504,0.7386
4,3,Lunge_Bosu_down,0.6371414044778443,0.6771
4,3,Lunge_Foam,0.6213704070842125,0.73378
5,1,Lunge,0.37400653069164447,0.34922
5,1,Lunge_Bosu_up,0.3656261430751363,0.31331
5,1,Lunge_Bosu_down,0.38758251573052155,0.36193
5,1,Lunge_Foam,0.369491384067342,0.33185
5,2,Lunge,0.3815104948753048,0.35609
5,2,Lunge_Bosu_up,0.32691071640434183,0.3493
5,2,Lunge_Bosu_down,0.379805090671518,0.30243
5,2,Lunge_Foam,0.3813362718126877,0.32199
5,3,Lunge,0.3727670835790092,0.34609
5,3,Lunge_Bosu_up,0.32881321445465056,0.36657
5,3,Lunge_Bosu_down,0.3993878936572815,0.40903
5,3,Lunge_Foam,0.3698090861512194,0.32292
6,1,Lunge,0.37141390348235487,0.5171
6,1,Lunge_Bosu_up,0.34984300621850367,0.41126
6,1,Lunge_Bosu_down,0.4692654046485848,0.32846
6,1,Lunge_Foam,0.35408734995760577,0.40904
6,2,Lunge,0.4059079143106229,0.43868
6,2,Lunge_Bosu_up,0.32477395954725186,0.4192
6,2,Lunge_Bosu_down,0.4658854487961606,0.48423
6,2,Lunge_Foam,0.37954848557200177,0.41858
6,3,Lunge,0.42306122157437215,0.32677
6,3,Lunge_Bosu_up,0.34624239486232766,0.2283
6,3,Lunge_Bosu_down,0.4647084162138663,0.47308
6,3,Lunge_Foam,0.3522080081429155,0.37722
7,1,Lunge,0.3663313998280792,0.42357
7,1,Lunge_Bosu_up,0.3858121566254749,0.30531
7,1,Lunge_Bosu_down,0.37767155492570526,0.40031
7,1,Lunge_Foam,0.3838094696591005,0.47145
7,2,Lunge,0.38887233123481546,0.42083
7,2,Lunge_Bosu_up,0.395173635380702,0.28774
7,2,Lunge_Bosu_down,0.3656881321563499,0.43699
7,2,Lunge_Foam,0.3769600229467311,0.30654
7,3,Lunge,0.41894487107494227,0.35943
7,3,Lunge_Bosu_up,0.39385798468483535,0.3456
7,3,Lunge_Bosu_down,0.353752176106381,0.39127
7,3,Lunge_Foam,0.37833494816101776,0.38413
8,1,Lunge,0.2926819140295485,0.32301
8,1,Lunge_Bosu_up,0.2229030825269135,0.34125
8,1,Lunge_Bosu_down,0.2830620301276736,0.35229
8,1,Lunge_Foam,0.307299579238241,0.32108
8,2,Lunge,0.30091708259917715,0.31982
8,2,Lunge_Bosu_up,0.22074904869557196,0.38221
8,2,Lunge_Bosu_down,0.2895683009239789,0.44347
8,2,Lunge_Foam,0.2971019626323596,0.36076
8,3,Lunge,0.3161672737650119,0.34256
8,3,Lunge_Bosu_up,0.23282872524669287,0.32395
8,3,Lunge_Bosu_down,0.26777475553158475,0.66166
8,3,Lunge_Foam,0.2877716108305335,0.47827
9,1,Lunge,0.4787903766785627,0.42136
9,1,Lunge_Bosu_up,0.48815581252300994,0.54855
9,1,Lunge_Bosu_down,0.4517288949137524,0.47297
9,1,Lunge_Foam,0.43405966698139553,0.61216
9,2,Lunge,0.45570373369109013,0.5003
9,2,Lunge_Bosu_up,0.504372794369403,0.48204
9,2,Lunge_Bosu_down,0.4380173449762007,0.49949
9,2,Lunge_Foam,0.496371681807091,0.56751
9,3,Lunge,0.45936496187671955,0.49493
9,3,Lunge_Bosu_up,0.4952546764039689,0.51776
9,3,Lunge_Bosu_down,0.45304170724117665,0.62986
9,3,Lunge_Foam,0.515968201539591,0.58944
10,1,Lunge,0.47417700587438866,0.7742
10,1,Lunge_Bosu_up,0.4927863261089942,0.85184
10,1,Lunge_Bosu_down,0.5616492717880083,0.72885
10,1,Lunge_Foam,0.45812986423065677,0.55038
10,2,Lunge,0.4908762252340197,0.55603
10,2,Lunge_Bosu_up,0.5212234261811339,0.79279
10,2,Lunge_Bosu_down,0.5578788582658425,0.73602
10,2,Lunge_Foam,0.46645662488595874,0.70982
10,3,Lunge,0.4930399157269115,0.68673
10,3,Lunge_Bosu_up,0.4933978394764209,0.55375
10,3,Lunge_Bosu_down,0.5459623585926048,0.6345
10,3,Lunge_Foam,0.45438490566919143,0.71921
